	X1.2018-Nov	X2.2018-Dec	X3.2019-Jan	X4.2019-Feb	X5.2019-Mar	X6.2019-Apr	X7.2019-May	X8.2019-Jun	X9.2019-Jul	X10.2019-Aug	X11.2019-Sep	X12.2019-Oct	X13.2019-Nov	X14.2019-Dec	X15.2020-Jan	X16.2020-Feb	X17.2020-Mar	X18.2020-Apr	X19.2020-May	X20.2020-Jun	X21.2020-Jul	X22.2020-Aug	X23.2020-Sep	X24.2020-Oct	X25.2020-Nov	X26.2020-Dec	X27.2021-Jan	X28.2021-Feb	X29.2021-Mar	X30.2021-Apr	X31.2021-May	X32.2021-Jun
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__18738bp__000803..full	0	0.061107457	0	0	0.04795682	0	0	0.04328277	0.11615621	0.042868014	0	0	0	0	0.04466954	0.09889271	0.08548539	0.0940528185	0.102620247	0.1111876755	0.119755104	0.11934117	0.090092264	0.46759188	3.2197225	2.0107508	2.3592274	1.653026	0.9468246	0.29997373	1.0245998	0.7257806
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__17331bp__000952..full	0.18687476	0.16626085	0.42556837	0.60997397	0.28958777	1.554681	0.29594645	0.135618	0.12012814	0.13519636	0.22230545	0.1344250175	0.046544585	0.068183355	0.93806434	1.0080142	6.78495	5.141715695	3.49848139	1.855247085	0.21201278	0.30594435	0.3966565	0.21509391	0.3416557	1.4904324	2.545656	2.347807	2.149958	0.8940458	0.42139423	0.68511945
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__12724bp__001769..full	2.1974263	1.6657715	1.4326768	1.3183626	0.8462251	0.3971486	0.35757545	0.271387	1.2726876	4.2663894	4.639849	2.88812815	1.1364073	0.79538214	0.62198454	0.6478272	0.6574591	0.5994884675	0.541517835	0.4835472025	0.42557657	0.29328144	0.33001083	0.46593165	0.5951215	0.817503	1.0033318	1.3410377	1.6787436	1.207363	1.002838	0.4087779
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__59380bp__000031..full	3.4957914	2.9794617	4.9396544	5.16354	6.4897094	1.0088496	3.0284638	1.2591599	17.266844	10.363935	9.279252	9.8696145	10.459977	10.292983	7.970037	7.7872	5.0707493	6.943857975	8.81696665	10.690075325	12.563184	8.708766	8.236383	15.945338	19.80805	18.565018	22.65088	21.5593765	20.467873	17.735167	21.066832	9.971915
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__56672bp__000045..full	1.0288812	0.97994024	1.3847911	1.5609807	2.147953	0.25097692	0.69067657	0.29383382	1.6953095	1.2557636	1.5524557	3.69701285	5.84157	11.92867	4.1036844	4.225856	1.4081051	4.066252075	6.72439905	9.382546025	12.040693	7.9504757	16.859842	54.56432	67.62921	47.843952	50.53744	40.359099	30.180758	33.447773	31.200531	13.14484
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__52384bp__000058..full	4.69962	4.0982304	4.4952645	4.6085057	4.3570743	6.779734	1.3442926	0.68121034	2.9247775	2.5278022	4.508461	4.6956837	4.8829064	5.277448	4.364505	3.856087	3.814608	3.660777325	3.50694665	3.353115975	3.1992853	3.187529	4.539619	3.9814787	4.2958064	4.8907356	5.0270886	6.3250918	7.623095	4.125187	5.64381	3.8337107
X2021.Apr.viral.fraction__viral.spades.short__as.yet.unknown__168538bp__000003..full	1.9944524	2.6071322	3.1760237	3.0094402	2.555228	0.24675682	0.08063706	0.039616607	0.5023155	0.27720416	0.23455384	0.57378912	0.9130244	1.7917958	1.71118	1.7791481	1.0399864	0.98941645	0.9388465	0.88827655	0.8377066	0.5028332	0.40105197	0.9865726	2.4163487	2.5255423	1.4034338	3.1459291	4.8884244	5.190603	1.1317948	0.25395653
X2021.Apr.viral.fraction__viral.spades.short__as.yet.unknown__96242bp__000008..full	0.30158854	0.33684623	1.076369	2.2706308	9.856937	21.290018	7.1536255	3.1809313	4.393827	3.5316975	4.351823	3.24207205	2.1323211	2.7580848	3.0848775	3.7458088	6.1659627	7.2906729	8.4153831	9.5400933	10.6648035	7.8797293	4.13358	2.533367	2.0139194	2.6611578	2.1737819	3.69270345	5.211625	13.933601	6.694222	4.161655
X2021.Apr.viral.fraction__viral.spades.short__as.yet.unknown__68757bp__000026..full	3.5083017	3.7925348	6.7166286	6.6192923	3.1125407	10.837534	1.6538205	0.9600006	1.3756785	1.5228812	2.2331505	1.97461175	1.716073	1.2835629	2.4002345	2.8737705	2.4837167	2.2117855	1.9398543	1.6679231	1.3959919	2.6941915	2.1859474	1.7930292	2.067961	5.794244	8.278634	8.605474	8.932314	7.735181	4.4805703	2.7015219
X2021.Apr.viral.fraction__viral.spades.short__as.yet.unknown__60381bp__000031..full	0.8233582	0.6367765	0.747876	0.7326289	0.36713812	1.7906632	0.36835906	0.12385514	0.33827525	0.19135739	0.2735919	0.31284791	0.35210392	0.30826855	0.84532654	1.893332	2.2679892	1.84401326	1.42003732	0.99606138	0.57208544	0.70090383	0.49712798	1.0742155	1.3269334	2.2170808	4.2083573	6.73213015	9.255903	2.9404314	7.5324616	5.592668
X2021.Apr.viral.fraction__viral.spades.short__as.yet.unknown__56643bp__000040..full	1.1506723	1.6476433	1.3182648	1.7575054	2.1651735	0.114656754	1.0196308	0.21598898	0.22143275	0.37939417	0.41819742	12.99584471	25.573492	27.585075	12.3956785	9.474608	2.386501	1.95693255	1.5273641	1.09779565	0.6682272	0.25165343	0.12676702	0.14852001	0.13691893	0.2250822	0.37481052	1.12733101	1.8798515	10.470015	6.6179485	2.1911037
