final_kluster	category	count	pattern
42ns	DNA. RNA and nucleotide metabolism	26	non_seasonal
103s	DNA. RNA and nucleotide metabolism	99	seasonal
104s	DNA. RNA and nucleotide metabolism	80	seasonal
105s	DNA. RNA and nucleotide metabolism	74	seasonal
106s	DNA. RNA and nucleotide metabolism	85	seasonal
107s	DNA. RNA and nucleotide metabolism	18	seasonal
108s	DNA. RNA and nucleotide metabolism	29	seasonal
43ns	DNA. RNA and nucleotide metabolism	3	non_seasonal
44ns	DNA. RNA and nucleotide metabolism	70	non_seasonal
45ns	DNA. RNA and nucleotide metabolism	3	non_seasonal
46ns	DNA. RNA and nucleotide metabolism	24	non_seasonal
1s	other	47	seasonal
2s	other	42	seasonal
3s	other	26	seasonal
4s	other	24	seasonal
5s	other	49	seasonal
6s	other	42	seasonal
1ns	other	25	non_seasonal
7s	other	9	seasonal
8s	other	45	seasonal
9s	other	27	seasonal
10s	other	20	seasonal
2ns	other	1	non_seasonal
11s	other	44	seasonal
12s	other	58	seasonal
13s	other	17	seasonal
14s	other	20	seasonal
15s	other	17	seasonal
16s	other	14	seasonal
3ns	other	5	non_seasonal
17s	other	20	seasonal
18s	other	24	seasonal
19s	other	13	seasonal
20s	other	13	seasonal
21s	other	35	seasonal
22s	other	13	seasonal
23s	other	61	seasonal
24s	other	10	seasonal
4ns	other	7	non_seasonal
25s	other	24	seasonal
26s	other	21	seasonal
5ns	other	27	non_seasonal
6ns	other	7	non_seasonal
7ns	other	11	non_seasonal
27s	other	31	seasonal
28s	other	18	seasonal
8ns	other	11	non_seasonal
29s	other	25	seasonal
30s	other	40	seasonal
31s	other	24	seasonal
9ns	other	17	non_seasonal
32s	other	26	seasonal
33s	other	6	seasonal
34s	other	17	seasonal
35s	other	31	seasonal
36s	other	20	seasonal
37s	other	44	seasonal
10ns	other	28	non_seasonal
11ns	other	29	non_seasonal
12ns	other	19	non_seasonal
38s	other	16	seasonal
39s	other	41	seasonal
13ns	other	20	non_seasonal
40s	other	13	seasonal
41s	other	7	seasonal
42s	other	11	seasonal
43s	other	39	seasonal
44s	other	18	seasonal
45s	other	9	seasonal
46s	other	9	seasonal
14ns	other	42	non_seasonal
47s	other	31	seasonal
48s	other	19	seasonal
49s	other	29	seasonal
50s	other	44	seasonal
15ns	other	11	non_seasonal
51s	other	20	seasonal
52s	other	36	seasonal
53s	other	42	seasonal
54s	other	26	seasonal
55s	other	26	seasonal
56s	other	24	seasonal
57s	other	13	seasonal
58s	other	27	seasonal
59s	other	24	seasonal
60s	other	47	seasonal
61s	other	44	seasonal
62s	other	16	seasonal
16ns	other	23	non_seasonal
63s	other	43	seasonal
64s	other	19	seasonal
17ns	other	2	non_seasonal
65s	other	48	seasonal
66s	other	9	seasonal
18ns	other	39	non_seasonal
67s	other	13	seasonal
68s	other	31	seasonal
69s	other	37	seasonal
70s	other	51	seasonal
19ns	other	23	non_seasonal
20ns	other	13	non_seasonal
71s	other	24	seasonal
72s	other	22	seasonal
73s	other	44	seasonal
21ns	other	20	non_seasonal
22ns	other	16	non_seasonal
74s	other	9	seasonal
75s	other	33	seasonal
76s	other	50	seasonal
77s	other	20	seasonal
78s	other	16	seasonal
23ns	other	11	non_seasonal
24ns	other	18	non_seasonal
79s	other	21	seasonal
80s	other	23	seasonal
81s	other	22	seasonal
25ns	other	8	non_seasonal
82s	other	37	seasonal
83s	other	41	seasonal
84s	other	31	seasonal
26ns	other	12	non_seasonal
85s	other	32	seasonal
27ns	other	3	non_seasonal
28ns	other	20	non_seasonal
86s	other	43	seasonal
87s	other	14	seasonal
88s	other	17	seasonal
89s	other	17	seasonal
90s	other	36	seasonal
91s	other	24	seasonal
92s	other	28	seasonal
93s	other	11	seasonal
94s	other	35	seasonal
95s	other	29	seasonal
96s	other	27	seasonal
29ns	other	45	non_seasonal
30ns	other	45	non_seasonal
97s	other	18	seasonal
31ns	other	17	non_seasonal
32ns	other	11	non_seasonal
