klusters_tree_list3	obs
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__25188bp__000665..full
11	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__25479bp__000647..full
38	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__25903bp__000630..full
13	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__26137bp__000615..full
39	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__26176bp__000613..full
28	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__26272bp__000609..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__26762bp__000583..full
33	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__26808bp__000580..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__27463bp__000544..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__28236bp__000512..full
34	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__28656bp__000500..full
30	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__28664bp__000499..full
14	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__28687bp__000495..full
11	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__28920bp__000487..full
34	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__28937bp__000486..full
40	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__29076bp__000482..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__29153bp__000478..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__29388bp__000470..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__29499bp__000464..full
11	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__29807bp__000454..full
41	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__30413bp__000437..full
18	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__30604bp__000432..full
16	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__30969bp__000425..full
19	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__31137bp__000421..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__31250bp__000417..full
34	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__31361bp__000412..full
42	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__31468bp__000411..full
43	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__32123bp__000400..full
34	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__32242bp__000396..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__32377bp__000392..full
28	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__32858bp__000373..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33051bp__000369..full
28	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33219bp__000366..full
24	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33295bp__000361..full
18	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33337bp__000358..full
44	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33430bp__000357..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33597bp__000350..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33602bp__000348..full
45	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33702bp__000344..full
33	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33743bp__000342..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33967bp__000337..full
